Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID,Bemerkungen_ID
1724,1975,,12044,
1725,1975,,12045,
1726,1975,,12046,
1727,1975,,12047,
1728,1975,,12048,
1729,1975,,12049,
1730,1975,,12050,
1731,1975,,12051,
1732,1975,,12052,
1733,1975,,12053,
1734,1975,,12054,
1735,1975,,12055,
1736,1975,,12056,
1737,1975,,12057,
1738,1975,,12058,
1739,1975,,12059,
1740,1975,,12060,
1741,1975,,12061,
1742,1975,,12062,
1743,1975,,12063,
1744,1975,,12064,
1745,1975,,12065,
1746,1975,,12066,
1747,1975,,12067,
1748,1975,,12068,
1749,1975,,12069,
1750,1975,,12070,
1751,1975,,12071,
1752,1975,,12072,
1753,1975,,12073,
1754,1975,,12074,
1755,1975,,12075,
1756,1975,,12076,
1757,1975,,12077,
1758,1975,,12078,
1759,1975,,12079,
1760,1975,,12080,
1761,1975,,12081,
1762,1975,,12082,
1763,1975,,12083,
1764,1975,,12084,
1765,1975,,12085,
1766,1975,,12086,
1767,1975,,12087,
1768,1975,,12088,
1769,1975,,12089,
1770,1975,,12090,
1771,1975,,12091,
1772,1975,,12092,
1773,1975,,12093,
1774,1975,,12094,
1775,1975,,12095,
1776,1975,,12096,
1777,1975,,12097,
1778,1975,,12098,
1779,1975,,12099,
1780,1975,,12100,
1781,1975,,12101,
1782,1975,,12102,
1783,1975,,12103,
1784,1975,,12104,
1785,1975,,12105,
1786,1975,,12106,
1787,1975,,12107,
1788,1975,,12108,
1789,1975,,12109,
1790,1975,,12110,
1791,1975,,12111,
1792,1975,,12112,
1793,1975,,12113,
1794,1975,,12114,
1795,1975,,12115,
1796,1975,,12116,
1797,1975,,12117,
1798,1975,,12118,
1799,1975,,12119,
1800,1975,,12120,
1801,1975,,12121,
1802,1975,,12122,
1803,1975,,12123,
1804,1975,,12124,
1805,1975,,12125,
1806,1975,,12126,
1807,1975,,12127,
1808,1975,,12128,
1809,1975,,12129,
1810,1975,,12130,
1811,1975,,12131,
1812,1975,,12132,
1813,1975,,12133,
1814,1975,,12134,
1815,1975,,12135,
1816,1975,,12136,
1817,1975,,12137,
1818,1975,,12138,
1819,1975,,12139,
1820,1975,,12140,
1821,1975,,12141,
1822,1975,,12142,
1823,1975,,12143,
1824,1975,,12144,
1825,1975,,12145,
1826,1975,,12146,
1827,1975,,12147,
1828,1975,,12148,
1829,1975,,12149,
1830,1975,,12150,
1831,1975,,12151,
1832,1975,,12152,
1833,1975,,12153,
1834,1975,,12154,
1835,1975,,12155,
1836,1975,,12156,
1837,1975,,12157,
1838,1975,,12158,
1839,1975,,12159,
1840,1975,,12160,
1841,1975,,12161,
1842,1975,,12162,
1843,1975,,12163,
1844,1975,,12164,
1845,1975,,12165,
1846,1975,,12166,
1847,1975,,12167,
1848,1975,,12168,
1849,1976,,12001,
1850,1976,,12002,
1851,1976,,12003,
1852,1976,,12004,
1853,1976,,12005,
1854,1976,,12006,
1855,1976,,12007,
1856,1976,,12008,
1857,1976,,12009,
1858,1976,,12010,
1859,1976,,12011,
1860,1976,,12012,
1861,1976,,12013,
1862,1976,,12014,
1863,1976,,12015,
1864,1976,,12016,
1865,1976,,12017,
1866,1976,,12018,
1867,1976,,12019,
1868,1976,,12020,
1869,1976,,12021,
1870,1976,,12022,
1871,1976,,12023,
1872,1976,,12024,
1873,1976,,12025,
1874,1976,,12026,
1875,1976,,12027,
1876,1976,,12028,
1877,1976,,12029,
1878,1976,,12030,
1879,1976,,12031,
1880,1976,,12032,
1881,1976,,12033,
1882,1976,,12034,
1883,1976,,12035,
1884,1976,,12036,
1885,1976,,12037,
1886,1976,,12038,
1887,1976,,12039,
1888,1976,,12040,
1889,1976,,12041,
1890,1976,,12042,
1891,1976,,12043,
1892,1976,,12044,
1893,1976,,12045,
1894,1976,,12046,
1895,1976,,12047,
1896,1976,,12048,
1897,1976,,12049,
1898,1976,,12050,
1899,1976,,12051,
1900,1976,,12052,
1901,1976,,12053,
1902,1976,,12054,
1903,1976,,12055,
1904,1976,,12056,
1905,1976,,12057,
1906,1976,,12058,
1907,1976,,12059,
1908,1976,,12060,
1909,1976,,12061,
1910,1976,,12062,
1911,1976,,12063,
1912,1976,,12064,
1913,1976,,12065,
1914,1976,,12066,
1915,1976,,12067,
1916,1976,,12068,
1917,1976,,12069,
1918,1976,,12070,
1919,1976,,12071,
1920,1976,,12072,
1921,1976,,12073,
1922,1976,,12074,
1923,1976,,12075,
1924,1976,,12076,
1925,1976,,12077,
1926,1976,,12078,
1927,1976,,12079,
1928,1976,,12080,
1929,1976,,12081,
1930,1976,,12082,
1931,1976,,12083,
1932,1976,,12084,
1933,1976,,12085,
1934,1976,,12086,
1935,1976,,12087,
1936,1976,,12088,
1937,1976,,12089,
1938,1976,,12090,
1939,1976,,12091,
1940,1976,,12092,
1941,1976,,12093,
1942,1976,,12094,
1943,1976,,12095,
1944,1976,,12096,
1945,1976,,12097,
1946,1976,,12098,
1947,1976,,12099,
1948,1976,,12100,
1949,1976,,12101,
1950,1976,,12102,
1951,1976,,12103,
1952,1976,,12104,
1953,1976,,12105,
1954,1976,,12106,
1955,1976,,12107,
1956,1976,,12108,
1957,1976,,12109,
1958,1976,,12110,
1959,1976,,12111,
1960,1976,,12112,
1961,1976,,12113,
1962,1976,,12114,
1963,1976,,12115,
1964,1976,,12116,
1965,1976,,12117,
1966,1976,,12118,
1967,1976,,12119,
1968,1976,,12120,
1969,1976,,12121,
1970,1976,,12122,
1971,1976,,12123,
1972,1976,,12124,
1973,1976,,12125,
1974,1976,,12126,
1975,1976,,12127,
1976,1976,,12128,
1977,1976,,12129,
1978,1976,,12130,
1979,1976,,12131,
1980,1976,,12132,
1981,1976,,12133,
1982,1976,,12134,
1983,1976,,12135,
1984,1976,,12136,
1985,1976,,12137,
1986,1976,,12138,
1987,1976,,12139,
1988,1976,,12140,
1989,1976,,12141,
1990,1976,,12142,
1991,1976,,12143,
1992,1976,,12144,
1993,1976,,12145,
1994,1976,,12146,
1995,1976,,12147,
1996,1976,,12148,
1997,1976,,12149,
1998,1976,,12150,
1999,1976,,12151,
2000,1976,,12152,
2001,1976,,12153,
2002,1976,,12154,
2003,1976,,12155,
2004,1976,,12156,
2005,1976,,12157,
2006,1976,,12158,
2007,1976,,12159,
2008,1976,,12160,
2009,1976,,12161,
2010,1976,,12162,
2011,1976,,12163,
2012,1976,,12164,
2013,1976,,12165,
2014,1976,,12166,
2015,1976,,12167,
2016,1976,,12168,
2017,1977,,12001,
2018,1977,,12002,
2019,1977,,12003,
2020,1977,,12004,
2021,1977,,12005,
2022,1977,,12006,
