Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
120,1963,1963-05-09T00:00:00,,12120,,41,62.5,1,,,
121,1963,1963-05-09T00:00:00,,12121,,41,62.5,1,,,
122,1963,1963-05-09T00:00:00,,12122,,41,62.5,1,,,
123,1963,1963-05-09T00:00:00,,12123,,41,62.5,1,,,
124,1963,1963-05-09T00:00:00,,12124,,41,62.5,1,,,
125,1963,1963-05-09T00:00:00,,12125,,41,62.5,1,,,
126,1963,1963-05-09T00:00:00,,12126,,41,62.5,1,,,
127,1963,1963-05-09T00:00:00,,12127,,41,62.5,1,,,
128,1963,1963-05-09T00:00:00,,12128,,41,62.5,1,,,
129,1963,1963-05-09T00:00:00,,12129,,41,62.5,1,,,
130,1963,1963-05-09T00:00:00,,12130,,41,62.5,1,,,
131,1963,1963-05-09T00:00:00,,12131,,41,62.5,1,,,
132,1963,1963-05-09T00:00:00,,12132,,41,62.5,1,,,
133,1963,1963-05-09T00:00:00,,12133,,41,62.5,1,,,
134,1963,1963-05-09T00:00:00,,12134,,41,62.5,1,,,
135,1963,1963-05-09T00:00:00,,12135,,41,62.5,1,,,
136,1963,1963-05-09T00:00:00,,12136,,41,62.5,1,,,
137,1963,1963-05-09T00:00:00,,12137,,41,62.5,1,,,
138,1963,1963-05-09T00:00:00,,12138,,41,62.5,1,,,
139,1963,1963-05-09T00:00:00,,12139,,41,62.5,1,,,
140,1963,1963-05-09T00:00:00,,12140,,41,62.5,1,,,
141,1963,1963-05-09T00:00:00,,12141,,41,62.5,1,,,
142,1963,1963-05-09T00:00:00,,12142,,41,62.5,1,,,
143,1963,1963-05-09T00:00:00,,12143,,41,62.5,1,,,
144,1963,1963-05-09T00:00:00,,12144,,41,62.5,1,,,
145,1963,1963-05-09T00:00:00,,12145,,41,62.5,1,,,
146,1963,1963-05-09T00:00:00,,12146,,41,62.5,1,,,
147,1963,1963-05-09T00:00:00,,12147,,41,62.5,1,,,
148,1964,1963-09-25T00:00:00,,12001,,150,15.4,2,,,
149,1964,1963-09-25T00:00:00,,12002,,150,15.4,2,,,
150,1964,1963-09-25T00:00:00,,12003,,150,15.4,2,,,
151,1964,1963-09-25T00:00:00,,12004,,150,15.4,2,,,
152,1964,1963-09-25T00:00:00,,12005,,150,15.4,2,,,
153,1964,1963-09-25T00:00:00,,12006,,150,15.4,2,,,
154,1964,1963-09-25T00:00:00,,12007,,150,15.4,2,,,
155,1964,1963-09-25T00:00:00,,12008,,150,15.4,2,,,
156,1964,1963-09-25T00:00:00,,12009,,150,15.4,2,,,
157,1964,1963-09-25T00:00:00,,12010,,150,15.4,2,,,
158,1964,1963-09-25T00:00:00,,12011,,150,15.4,2,,,
159,1964,1963-09-25T00:00:00,,12012,,150,15.4,2,,,
160,1964,1963-09-25T00:00:00,,12013,,150,15.4,2,,,
161,1964,1963-09-25T00:00:00,,12014,,150,15.4,2,,,
162,1964,1963-09-25T00:00:00,,12015,,150,15.4,2,,,
163,1964,1963-09-25T00:00:00,,12016,,150,15.4,2,,,
164,1964,1963-09-25T00:00:00,,12017,,150,15.4,2,,,
165,1964,1963-09-25T00:00:00,,12018,,150,15.4,2,,,
166,1964,1963-09-25T00:00:00,,12019,,150,15.4,2,,,
167,1964,1963-09-25T00:00:00,,12020,,150,15.4,2,,,
168,1964,1963-09-25T00:00:00,,12021,,150,15.4,2,,,
169,1964,1963-09-25T00:00:00,,12022,,150,15.4,2,,,
170,1964,1963-09-25T00:00:00,,12023,,150,15.4,2,,,
171,1964,1963-09-25T00:00:00,,12024,,150,15.4,2,,,
172,1964,1963-09-25T00:00:00,,12025,,150,15.4,2,,,
173,1964,1963-09-25T00:00:00,,12026,,150,15.4,2,,,
174,1964,1963-09-25T00:00:00,,12027,,150,15.4,2,,,
