Beregnung_ID,Versuchsjahr,Termin,Parzelle_ID,Menge,Bemerkungen_ID
179,1974,1974-06-21T00:00:00,12033,20,
180,1974,1974-06-21T00:00:00,12034,20,
181,1974,1974-06-21T00:00:00,12035,20,
182,1974,1974-06-21T00:00:00,12036,20,
183,1974,1974-06-21T00:00:00,12037,20,
184,1974,1974-06-21T00:00:00,12038,20,
185,1974,1974-06-21T00:00:00,12039,20,
186,1974,1974-06-21T00:00:00,12040,20,
187,1974,1974-06-21T00:00:00,12041,20,
188,1974,1974-06-21T00:00:00,12042,20,
189,1974,1974-06-21T00:00:00,12043,20,
190,1974,1974-06-21T00:00:00,12044,20,
191,1974,1974-06-21T00:00:00,12045,20,
192,1974,1974-06-21T00:00:00,12046,20,
193,1974,1974-06-21T00:00:00,12047,20,
194,1974,1974-06-21T00:00:00,12048,20,
195,1974,1974-06-21T00:00:00,12049,20,
196,1974,1974-06-21T00:00:00,12050,20,
197,1974,1974-06-21T00:00:00,12051,20,
198,1974,1974-06-21T00:00:00,12052,20,
199,1974,1974-06-21T00:00:00,12053,20,
200,1974,1974-06-21T00:00:00,12054,20,
201,1974,1974-06-21T00:00:00,12055,20,
202,1974,1974-06-21T00:00:00,12056,20,
203,1974,1974-06-21T00:00:00,12057,20,
204,1974,1974-06-21T00:00:00,12058,20,
205,1974,1974-06-21T00:00:00,12059,20,
206,1974,1974-06-21T00:00:00,12060,20,
207,1974,1974-06-21T00:00:00,12061,20,
208,1974,1974-06-21T00:00:00,12062,20,
209,1974,1974-06-21T00:00:00,12063,20,
210,1974,1974-06-21T00:00:00,12106,20,
211,1974,1974-06-21T00:00:00,12107,20,
212,1974,1974-06-21T00:00:00,12108,20,
213,1974,1974-06-21T00:00:00,12109,20,
214,1974,1974-06-21T00:00:00,12110,20,
215,1974,1974-06-21T00:00:00,12111,20,
216,1974,1974-06-21T00:00:00,12112,20,
217,1974,1974-06-21T00:00:00,12113,20,
218,1974,1974-06-21T00:00:00,12114,20,
219,1974,1974-06-21T00:00:00,12115,20,
220,1974,1974-06-21T00:00:00,12116,20,
221,1974,1974-06-21T00:00:00,12117,20,
222,1974,1974-06-21T00:00:00,12118,20,
223,1974,1974-06-21T00:00:00,12119,20,
224,1974,1974-06-21T00:00:00,12120,20,
225,1974,1974-06-21T00:00:00,12121,20,
226,1974,1974-06-21T00:00:00,12123,20,
227,1974,1974-06-21T00:00:00,12124,20,
228,1974,1974-06-21T00:00:00,12125,20,
229,1974,1974-06-21T00:00:00,12126,20,
230,1974,1974-06-21T00:00:00,12127,20,
231,1974,1974-06-21T00:00:00,12128,20,
232,1974,1974-06-21T00:00:00,12129,20,
233,1974,1974-06-21T00:00:00,12130,20,
234,1974,1974-06-21T00:00:00,12131,20,
235,1974,1974-06-21T00:00:00,12132,20,
236,1974,1974-06-21T00:00:00,12133,20,
237,1974,1974-06-21T00:00:00,12134,20,
238,1974,1974-06-21T00:00:00,12135,20,
239,1974,1974-06-21T00:00:00,12136,20,
240,1974,1974-06-21T00:00:00,12137,20,
241,1974,1974-06-21T00:00:00,12138,20,
242,1974,1974-06-21T00:00:00,12139,20,
243,1974,1974-06-21T00:00:00,12140,20,
244,1974,1974-06-21T00:00:00,12141,20,
245,1974,1974-06-21T00:00:00,12142,20,
246,1974,1974-06-21T00:00:00,12143,20,
247,1974,1974-06-21T00:00:00,12145,20,
248,1974,1974-06-21T00:00:00,12146,20,
249,1974,1974-06-21T00:00:00,12122,20,
