Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID,Bewaesserung,Wiederholung
2860,1981,12025,9,9,1,1
2861,1981,12026,9,15,1,1
2862,1981,12027,9,4,1,1
2863,1981,12028,9,8,1,1
2864,1981,12029,9,5,1,1
2865,1981,12030,9,13,1,1
2866,1981,12031,9,12,1,1
2867,1981,12032,9,18,1,1
2868,1981,12033,9,1,1,1
2869,1981,12034,9,14,1,1
2870,1981,12035,9,17,1,1
2871,1981,12036,9,21,1,1
2872,1981,12037,9,20,1,1
2873,1981,12038,9,19,1,1
2874,1981,12039,9,10,1,1
2875,1981,12040,9,11,1,1
2876,1981,12041,9,2,1,1
2877,1981,12042,9,3,1,1
2878,1981,12043,9,10,1,1
2879,1981,12044,9,14,1,1
2880,1981,12045,9,21,1,1
2881,1981,12046,9,8,1,1
2882,1981,12047,9,7,1,1
2883,1981,12048,9,15,1,1
2884,1981,12049,9,12,1,1
2885,1981,12050,9,6,1,1
2886,1981,12051,9,9,1,1
2887,1981,12052,9,20,1,1
2888,1981,12053,9,19,1,1
2889,1981,12054,9,16,1,1
2890,1981,12055,9,18,1,1
2891,1981,12056,9,4,1,1
2892,1981,12057,9,3,1,1
2893,1981,12058,9,5,1,1
2894,1981,12059,9,17,1,1
2895,1981,12060,9,1,1,1
2896,1981,12061,9,2,1,1
2897,1981,12062,9,11,1,1
2898,1981,12063,9,13,1,1
2899,1981,12064,9,11,0,1
2900,1981,12065,9,2,0,1
2901,1981,12066,9,6,0,1
2902,1981,12067,9,12,0,1
2903,1981,12068,9,19,0,1
2904,1981,12069,9,7,0,1
2905,1981,12070,9,18,0,1
2906,1981,12071,9,20,0,1
2907,1981,12072,9,3,0,1
2908,1981,12073,9,13,0,1
2909,1981,12074,9,21,0,1
2910,1981,12075,9,17,0,1
2911,1981,12076,9,9,0,1
2912,1981,12077,9,5,0,1
2913,1981,12078,9,15,0,1
2914,1981,12079,9,16,0,1
2915,1981,12080,9,8,0,1
2916,1981,12081,9,4,0,1
2917,1981,12082,9,10,0,1
2918,1981,12083,9,1,0,1
2919,1981,12084,9,14,0,1
2920,1981,12085,9,2,0,1
2921,1981,12086,9,7,0,1
2922,1981,12087,9,11,0,1
2923,1981,12088,9,17,0,1
2924,1981,12089,9,4,0,1
2925,1981,12090,9,3,0,1
2926,1981,12091,9,10,0,1
2927,1981,12092,9,9,0,1
2928,1981,12093,9,18,0,1
2929,1981,12094,9,14,0,1
2930,1981,12095,9,5,0,1
2931,1981,12096,9,20,0,1
2932,1981,12097,9,21,0,1
2933,1981,12098,9,15,0,1
2934,1981,12099,9,16,0,1
2935,1981,12100,9,8,0,1
2936,1981,12101,9,1,0,1
2937,1981,12102,9,13,0,1
2938,1981,12103,9,12,0,1
2939,1981,12104,9,6,0,1
2940,1981,12105,9,19,0,1
2941,1981,12106,9,12,1,1
2942,1981,12107,9,1,1,1
2943,1981,12108,9,10,1,1
2944,1981,12109,9,11,1,1
2945,1981,12110,9,13,1,1
2946,1981,12111,9,5,1,1
2947,1981,12112,9,6,1,1
2948,1981,12113,9,8,1,1
2949,1981,12114,9,4,1,1
2950,1981,12115,9,3,1,1
2951,1981,12116,9,7,1,1
2952,1981,12117,9,9,1,1
2953,1981,12118,9,17,1,1
2954,1981,12119,9,20,1,1
2955,1981,12120,9,18,1,1
2956,1981,12121,9,21,1,1
2957,1981,12122,9,2,1,1
2958,1981,12123,9,15,1,1
2959,1981,12124,9,14,1,1
2960,1981,12125,9,19,1,1
2961,1981,12126,9,16,1,1
2962,1981,12127,9,4,1,1
2963,1981,12128,9,10,1,1
2964,1981,12129,9,7,1,1
2965,1981,12130,9,20,1,1
2966,1981,12131,9,5,1,1
2967,1981,12132,9,8,1,1
2968,1981,12133,9,11,1,1
2969,1981,12134,9,1,1,1
2970,1981,12135,9,12,1,1
2971,1981,12136,9,18,1,1
2972,1981,12137,9,2,1,1
2973,1981,12138,9,6,1,1
2974,1981,12139,9,13,1,1
2975,1981,12140,9,9,1,1
2976,1981,12141,9,17,1,1
2977,1981,12142,9,19,1,1
2978,1981,12143,9,15,1,1
2979,1981,12144,9,14,1,1
2980,1981,12145,9,3,1,1
2981,1981,12146,9,16,1,1
2982,1981,12147,9,21,1,1
2983,1981,12148,9,13,0,1
2984,1981,12149,9,15,0,1
2985,1981,12150,9,9,0,1
2986,1981,12151,9,3,0,1
2987,1981,12152,9,8,0,1
2988,1981,12153,9,12,0,1
2989,1981,12154,9,1,0,1
2990,1981,12155,9,14,0,1
2991,1981,12156,9,17,0,1
2992,1981,12157,9,4,0,1
2993,1981,12158,9,16,0,1
2994,1981,12159,9,21,0,1
2995,1981,12160,9,10,0,1
2996,1981,12161,9,7,0,1
2997,1981,12162,9,19,0,1
2998,1981,12163,9,11,0,1
2999,1981,12164,9,5,0,1
3000,1981,12165,9,6,0,1
