Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
11531,1983,1983-03-29T00:00:00,12002,,91,59,
11532,1983,1983-03-29T00:00:00,12003,,91,59,
11533,1983,1983-03-29T00:00:00,12004,,91,59,
11534,1983,1983-03-29T00:00:00,12005,,91,59,
11535,1983,1983-03-29T00:00:00,12006,,91,59,
11536,1983,1983-03-29T00:00:00,12007,,91,59,
11537,1983,1983-03-29T00:00:00,12008,,91,59,
11538,1983,1983-03-29T00:00:00,12009,,91,59,
11539,1983,1983-03-29T00:00:00,12010,,91,59,
11540,1983,1983-03-29T00:00:00,12011,,91,59,
11541,1983,1983-03-29T00:00:00,12012,,91,59,
11542,1983,1983-03-29T00:00:00,12013,,91,59,
11543,1983,1983-03-29T00:00:00,12014,,91,59,
11544,1983,1983-03-29T00:00:00,12015,,91,59,
11545,1983,1983-03-29T00:00:00,12016,,91,59,
11546,1983,1983-03-29T00:00:00,12017,,91,59,
11547,1983,1983-03-29T00:00:00,12018,,91,59,
11548,1983,1983-03-29T00:00:00,12019,,91,59,
11549,1983,1983-03-29T00:00:00,12020,,91,59,
11550,1983,1983-03-29T00:00:00,12021,,91,59,
11551,1983,1983-03-29T00:00:00,12022,,91,59,
11552,1983,1983-03-29T00:00:00,12023,,91,59,
11553,1983,1983-03-29T00:00:00,12024,,91,59,
11554,1983,1983-03-29T00:00:00,12025,,91,59,
11555,1983,1983-03-29T00:00:00,12026,,91,59,
11556,1983,1983-03-29T00:00:00,12027,,91,59,
11557,1983,1983-03-29T00:00:00,12028,,91,59,
11558,1983,1983-03-29T00:00:00,12029,,91,59,
11559,1983,1983-03-29T00:00:00,12030,,91,59,
11560,1983,1983-03-29T00:00:00,12031,,91,59,
11561,1983,1983-03-29T00:00:00,12032,,91,59,
11562,1983,1983-03-29T00:00:00,12033,,91,59,
11563,1983,1983-03-29T00:00:00,12034,,91,59,
11564,1983,1983-03-29T00:00:00,12035,,91,59,
11565,1983,1983-03-29T00:00:00,12036,,91,59,
11566,1983,1983-03-29T00:00:00,12037,,91,59,
11567,1983,1983-03-29T00:00:00,12038,,91,59,
11568,1983,1983-03-29T00:00:00,12039,,91,59,
11569,1983,1983-03-29T00:00:00,12040,,91,59,
11570,1983,1983-03-29T00:00:00,12041,,91,59,
11571,1983,1983-03-29T00:00:00,12042,,91,59,
11572,1983,1983-03-29T00:00:00,12043,,91,59,
11573,1983,1983-03-29T00:00:00,12044,,91,59,
11574,1983,1983-03-29T00:00:00,12045,,91,59,
11575,1983,1983-03-29T00:00:00,12046,,91,59,
11576,1983,1983-03-29T00:00:00,12047,,91,59,
11577,1983,1983-03-29T00:00:00,12048,,91,59,
11578,1983,1983-03-29T00:00:00,12049,,91,59,
11579,1983,1983-03-29T00:00:00,12050,,91,59,
11580,1983,1983-03-29T00:00:00,12051,,91,59,
11581,1983,1983-03-29T00:00:00,12052,,91,59,
11582,1983,1983-03-29T00:00:00,12053,,91,59,
11583,1983,1983-03-29T00:00:00,12054,,91,59,
11584,1983,1983-03-29T00:00:00,12055,,91,59,
11585,1983,1983-03-29T00:00:00,12056,,91,59,
11586,1983,1983-03-29T00:00:00,12057,,91,59,
11587,1983,1983-03-29T00:00:00,12058,,91,59,
11588,1983,1983-03-29T00:00:00,12059,,91,59,
11589,1983,1983-03-29T00:00:00,12060,,91,59,
11590,1983,1983-03-29T00:00:00,12061,,91,59,
11591,1983,1983-03-29T00:00:00,12062,,91,59,
11592,1983,1983-03-29T00:00:00,12063,,91,59,
11593,1983,1983-03-29T00:00:00,12064,,91,59,
11594,1983,1983-03-29T00:00:00,12065,,91,59,
11595,1983,1983-03-29T00:00:00,12066,,91,59,
11596,1983,1983-03-29T00:00:00,12067,,91,59,
11597,1983,1983-03-29T00:00:00,12068,,91,59,
11598,1983,1983-03-29T00:00:00,12069,,91,59,
11599,1983,1983-03-29T00:00:00,12070,,91,59,
11600,1983,1983-03-29T00:00:00,12071,,91,59,
11601,1983,1983-03-29T00:00:00,12072,,91,59,
11602,1983,1983-03-29T00:00:00,12073,,91,59,
11603,1983,1983-03-29T00:00:00,12074,,91,59,
11604,1983,1983-03-29T00:00:00,12075,,91,59,
11605,1983,1983-03-29T00:00:00,12076,,91,59,
11606,1983,1983-03-29T00:00:00,12077,,91,59,
11607,1983,1983-03-29T00:00:00,12078,,91,59,
11608,1983,1983-03-29T00:00:00,12079,,91,59,
11609,1983,1983-03-29T00:00:00,12080,,91,59,
11610,1983,1983-03-29T00:00:00,12081,,91,59,
11611,1983,1983-03-29T00:00:00,12082,,91,59,
11612,1983,1983-03-29T00:00:00,12083,,91,59,
11613,1983,1983-03-29T00:00:00,12084,,91,59,
11614,1983,1983-03-29T00:00:00,12085,,91,59,
11615,1983,1983-03-29T00:00:00,12086,,91,59,
11616,1983,1983-03-29T00:00:00,12087,,91,59,
11617,1983,1983-03-29T00:00:00,12088,,91,59,
11618,1983,1983-03-29T00:00:00,12089,,91,59,
11619,1983,1983-03-29T00:00:00,12090,,91,59,
11620,1983,1983-03-29T00:00:00,12091,,91,59,
11621,1983,1983-03-29T00:00:00,12092,,91,59,
11622,1983,1983-03-29T00:00:00,12093,,91,59,
11623,1983,1983-03-29T00:00:00,12094,,91,59,
11624,1983,1983-03-29T00:00:00,12095,,91,59,
11625,1983,1983-03-29T00:00:00,12096,,91,59,
11626,1983,1983-03-29T00:00:00,12097,,91,59,
11627,1983,1983-03-29T00:00:00,12098,,91,59,
11628,1983,1983-03-29T00:00:00,12099,,91,59,
11629,1983,1983-03-29T00:00:00,12100,,91,59,
11630,1983,1983-03-29T00:00:00,12101,,91,59,
11631,1983,1983-03-29T00:00:00,12102,,91,59,
11632,1983,1983-03-29T00:00:00,12103,,91,59,
11633,1983,1983-03-29T00:00:00,12104,,91,59,
11634,1983,1983-03-29T00:00:00,12105,,91,59,
11635,1983,1983-03-29T00:00:00,12106,,91,59,
11636,1983,1983-03-29T00:00:00,12107,,91,59,
11637,1983,1983-03-29T00:00:00,12108,,91,59,
11638,1983,1983-03-29T00:00:00,12109,,91,59,
11639,1983,1983-03-29T00:00:00,12110,,91,59,
11640,1983,1983-03-29T00:00:00,12111,,91,59,
11641,1983,1983-03-29T00:00:00,12112,,91,59,
11642,1983,1983-03-29T00:00:00,12113,,91,59,
11643,1983,1983-03-29T00:00:00,12114,,91,59,
11644,1983,1983-03-29T00:00:00,12115,,91,59,
11645,1983,1983-03-29T00:00:00,12116,,91,59,
11646,1983,1983-03-29T00:00:00,12117,,91,59,
11647,1983,1983-03-29T00:00:00,12118,,91,59,
11648,1983,1983-03-29T00:00:00,12119,,91,59,
11649,1983,1983-03-29T00:00:00,12120,,91,59,
11650,1983,1983-03-29T00:00:00,12121,,91,59,
11651,1983,1983-03-29T00:00:00,12122,,91,59,
11652,1983,1983-03-29T00:00:00,12123,,91,59,
11653,1983,1983-03-29T00:00:00,12124,,91,59,
11654,1983,1983-03-29T00:00:00,12125,,91,59,
11655,1983,1983-03-29T00:00:00,12126,,91,59,
11656,1983,1983-03-29T00:00:00,12127,,91,59,
11657,1983,1983-03-29T00:00:00,12128,,91,59,
11658,1983,1983-03-29T00:00:00,12129,,91,59,
11659,1983,1983-03-29T00:00:00,12130,,91,59,
11660,1983,1983-03-29T00:00:00,12131,,91,59,
11661,1983,1983-03-29T00:00:00,12132,,91,59,
11662,1983,1983-03-29T00:00:00,12133,,91,59,
11663,1983,1983-03-29T00:00:00,12134,,91,59,
11664,1983,1983-03-29T00:00:00,12135,,91,59,
11665,1983,1983-03-29T00:00:00,12136,,91,59,
11666,1983,1983-03-29T00:00:00,12137,,91,59,
11667,1983,1983-03-29T00:00:00,12138,,91,59,
11668,1983,1983-03-29T00:00:00,12139,,91,59,
11669,1983,1983-03-29T00:00:00,12140,,91,59,
11670,1983,1983-03-29T00:00:00,12141,,91,59,
11671,1983,1983-03-29T00:00:00,12142,,91,59,
11672,1983,1983-03-29T00:00:00,12143,,91,59,
11673,1983,1983-03-29T00:00:00,12144,,91,59,
11674,1983,1983-03-29T00:00:00,12145,,91,59,
11675,1983,1983-03-29T00:00:00,12146,,91,59,
11676,1983,1983-03-29T00:00:00,12147,,91,59,
11677,1983,1983-03-29T00:00:00,12148,,91,59,
11678,1983,1983-03-29T00:00:00,12149,,91,59,
11679,1983,1983-03-29T00:00:00,12150,,91,59,
11680,1983,1983-03-29T00:00:00,12151,,91,59,
11681,1983,1983-03-29T00:00:00,12152,,91,59,
11682,1983,1983-03-29T00:00:00,12153,,91,59,
11683,1983,1983-03-29T00:00:00,12154,,91,59,
11684,1983,1983-03-29T00:00:00,12155,,91,59,
11685,1983,1983-03-29T00:00:00,12156,,91,59,
11686,1983,1983-03-29T00:00:00,12157,,91,59,
11687,1983,1983-03-29T00:00:00,12158,,91,59,
11688,1983,1983-03-29T00:00:00,12159,,91,59,
11689,1983,1983-03-29T00:00:00,12160,,91,59,
11690,1983,1983-03-29T00:00:00,12161,,91,59,
