Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Beginn,Ende
51,A0b,2,1,246.5,254.1,1984,
52,C0b,2,11,246.5,254.1,1984,
53,B0b,2,6,246.5,254.1,1984,
54,A0b,2,1,246.5,254.1,1984,
55,A1b,2,2,246.5,254.1,1984,
56,B1b,2,7,246.5,254.1,1984,
57,C1b,2,12,246.5,254.1,1984,
58,A1b,2,2,246.5,254.1,1984,
59,B1b,2,7,246.5,254.1,1984,
60,C1b,2,12,246.5,254.1,1984,
61,A1b,2,2,246.5,254.1,1984,
62,B1b,2,7,246.5,254.1,1984,
63,C1b,2,12,246.5,254.1,1984,
64,C2b,2,13,246.5,254.1,1984,
65,B2b,2,8,246.5,254.1,1984,
66,A2b,2,3,246.5,254.1,1984,
67,C2b,2,13,246.5,254.1,1984,
68,B2b,2,8,246.5,254.1,1984,
69,A2b,2,3,246.5,254.1,1984,
70,C2b,2,13,246.5,254.1,1984,
71,B2b,2,8,246.5,254.1,1984,
72,A2b,2,3,246.5,254.1,1984,
73,A3b,2,4,246.5,254.1,1984,
74,B3b,2,9,246.5,254.1,1984,
75,C3b,2,14,246.5,254.1,1984,
76,A3b,2,4,246.5,254.1,1984,
77,B3b,2,9,246.5,254.1,1984,
78,C3b,2,14,246.5,254.1,1984,
79,A3b,2,4,246.5,254.1,1984,
80,B3b,2,9,246.5,254.1,1984,
81,C3b,2,14,246.5,254.1,1984,
82,C4b,2,15,246.5,254.1,1984,
83,B4b,2,10,246.5,254.1,1984,
84,A4b,2,5,246.5,254.1,1984,
85,C4b,2,15,246.5,254.1,1984,
86,B4b,2,10,246.5,254.1,1984,
87,A4b,2,5,246.5,254.1,1984,
88,C4b,2,15,246.5,254.1,1984,
89,B4b,2,10,246.5,254.1,1984,
90,A4b,2,5,246.5,254.1,1984,
91,A0c,3,1,246.5,254.1,1984,
92,B0c,3,6,246.5,254.1,1984,
93,C0c,3,11,246.5,254.1,1984,
94,A0c,3,1,246.5,254.1,1984,
95,B0c,3,6,246.5,254.1,1984,
96,C0c,3,11,246.5,254.1,1984,
97,A0c,3,1,246.5,254.1,1984,
98,B0c,3,6,246.5,254.1,1984,
99,C0c,3,11,246.5,254.1,1984,
100,C1c,3,12,246.5,254.1,1984,
101,B1c,3,7,246.5,254.1,1984,
102,A1c,3,2,246.5,254.1,1984,
103,C1c,3,12,246.5,254.1,1984,
104,B1c,3,7,246.5,254.1,1984,
105,A1c,3,2,246.5,254.1,1984,
106,C1c,3,12,246.5,254.1,1984,
107,B1c,3,7,246.5,254.1,1984,
108,A1c,3,2,246.5,254.1,1984,
109,A2c,3,3,246.5,254.1,1984,
110,B2c,3,8,246.5,254.1,1984,
111,C2c,3,13,246.5,254.1,1984,
112,A2c,3,3,246.5,254.1,1984,
113,B2c,3,8,246.5,254.1,1984,
114,C2c,3,13,246.5,254.1,1984,
115,A2c,3,3,246.5,254.1,1984,
116,B2c,3,8,246.5,254.1,1984,
117,C2c,3,13,246.5,254.1,1984,
118,C3c,3,14,246.5,254.1,1984,
119,B3c,3,9,246.5,254.1,1984,
120,A3c,3,4,246.5,254.1,1984,
121,C3c,3,14,246.5,254.1,1984,
122,B3c,3,9,246.5,254.1,1984,
123,A3c,3,4,246.5,254.1,1984,
124,C3c,3,14,246.5,254.1,1984,
125,B3c,3,9,246.5,254.1,1984,
126,A3c,3,4,246.5,254.1,1984,
127,A4c,3,5,246.5,254.1,1984,
128,B4c,3,10,246.5,254.1,1984,
129,C4c,3,15,246.5,254.1,1984,
130,A4c,3,5,246.5,254.1,1984,
131,B4c,3,10,246.5,254.1,1984,
132,C4c,3,15,246.5,254.1,1984,
133,A4c,3,5,246.5,254.1,1984,
134,B4c,3,10,246.5,254.1,1984,
135,C4c,3,15,246.5,254.1,1984,
136,mK0a,1,16,246.5,254.1,1997,
137,oK0a,1,21,246.5,254.1,1997,
138,mK0a,1,16,246.5,254.1,1997,
139,oK0a,1,21,246.5,254.1,1997,
140,mK0a,1,16,246.5,254.1,1997,
141,oK0a,1,21,246.5,254.1,1997,
142,oK1a,1,22,246.5,254.1,1997,
143,mK1a,1,17,246.5,254.1,1997,
144,oK1a,1,22,246.5,254.1,1997,
145,mK1a,1,17,246.5,254.1,1997,
146,oK1a,1,22,246.5,254.1,1997,
147,mK1a,1,17,246.5,254.1,1997,
148,mK2a,1,18,246.5,254.1,1997,
149,oK2a,1,23,246.5,254.1,1997,
150,mK2a,1,18,246.5,254.1,1997,
151,oK2a,1,23,246.5,254.1,1997,
152,mK2a,1,18,246.5,254.1,1997,
153,oK2a,1,23,246.5,254.1,1997,
154,oK3a,1,24,246.5,254.1,1997,
155,mK3a,1,19,246.5,254.1,1997,
156,oK3a,1,24,246.5,254.1,1997,
157,mK3a,1,19,246.5,254.1,1997,
158,oK3a,1,24,246.5,254.1,1997,
159,mK3a,1,19,246.5,254.1,1997,
160,mK4a,1,20,246.5,254.1,1997,
161,oK4a,1,25,246.5,254.1,1997,
162,mK4a,1,20,246.5,254.1,1997,
163,oK4a,1,25,246.5,254.1,1997,
164,mK4a,1,20,246.5,254.1,1997,
165,oK4a,1,25,246.5,254.1,1997,
166,oK2b,2,23,246.5,254.1,1997,
167,mK2b,2,18,246.5,254.1,1997,
168,oK2b,2,23,246.5,254.1,1997,
169,mK2b,2,18,246.5,254.1,1997,
170,oK2b,2,23,246.5,254.1,1997,
171,mK2b,2,18,246.5,254.1,1997,
172,mK4b,2,20,246.5,254.1,1997,
173,oK4b,2,25,246.5,254.1,1997,
174,mK4b,2,20,246.5,254.1,1997,
175,oK4b,2,25,246.5,254.1,1997,
176,mK4b,2,20,246.5,254.1,1997,
177,oK4b,2,25,246.5,254.1,1997,
178,oK0b,2,21,246.5,254.1,1997,
179,mK0b,2,16,246.5,254.1,1997,
180,oK0b,2,21,246.5,254.1,1997,
181,mK0b,2,16,246.5,254.1,1997,
182,oK0b,2,21,246.5,254.1,1997,
183,mK0b,2,16,246.5,254.1,1997,
184,mK1b,2,17,246.5,254.1,1997,
185,oK1b,2,22,246.5,254.1,1997,
186,mK1b,2,17,246.5,254.1,1997,
187,oK1b,2,22,246.5,254.1,1997,
188,mK1b,2,17,246.5,254.1,1997,
189,oK1b,2,22,246.5,254.1,1997,
190,oK3b,2,24,246.5,254.1,1997,
191,mK3b,2,19,246.5,254.1,1997,
192,oK3b,2,24,246.5,254.1,1997,
193,mK3b,2,19,246.5,254.1,1997,
194,oK3b,2,24,246.5,254.1,1997,
195,mK3b,2,19,246.5,254.1,1997,
196,mK2c,3,18,246.5,254.1,1997,
197,oK2c,3,23,246.5,254.1,1997,
198,mK2c,3,18,246.5,254.1,1997,
199,oK2c,3,23,246.5,254.1,1997,
200,mK2c,3,18,246.5,254.1,1997,
201,oK2c,3,23,246.5,254.1,1997,
202,oK0c,3,21,246.5,254.1,1997,
203,mK0c,3,16,246.5,254.1,1997,
204,oK0c,3,21,246.5,254.1,1997,
205,mK0c,3,16,246.5,254.1,1997,
206,oK0c,3,21,246.5,254.1,1997,
207,mK0c,3,16,246.5,254.1,1997,
208,mK4c,3,20,246.5,254.1,1997,
209,oK4c,3,25,246.5,254.1,1997,
210,mK4c,3,20,246.5,254.1,1997,
211,oK4c,3,25,246.5,254.1,1997,
212,mK4c,3,20,246.5,254.1,1997,
213,oK4c,3,25,246.5,254.1,1997,
214,oK3c,3,24,246.5,254.1,1997,
215,mK3c,3,19,246.5,254.1,1997,
216,oK3c,3,24,246.5,254.1,1997,
217,mK3c,3,19,246.5,254.1,1997,
218,oK3c,3,24,246.5,254.1,1997,
219,mK3c,3,19,246.5,254.1,1997,
220,mK1c,3,17,246.5,254.1,1997,
221,oK1c,3,22,246.5,254.1,1997,
222,mK1c,3,17,246.5,254.1,1997,
223,oK1c,3,22,246.5,254.1,1997,
224,mK1c,3,17,246.5,254.1,1997,
225,oK1c,3,22,246.5,254.1,1997,
