Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
212,1985,1984-10-16T00:00:00,51,6.5,4,1
213,1985,1984-10-16T00:00:00,94,6.5,4,1
214,1985,1984-10-16T00:00:00,15,6.5,4,1
215,1985,1984-10-16T00:00:00,58,6.5,4,1
216,1985,1984-10-16T00:00:00,105,6.5,4,1
217,1985,1984-10-16T00:00:00,22,6.5,4,1
218,1985,1984-10-16T00:00:00,69,6.5,4,1
219,1985,1984-10-16T00:00:00,112,6.5,4,1
220,1985,1984-10-16T00:00:00,33,6.5,4,1
221,1985,1984-10-16T00:00:00,76,6.5,4,1
222,1985,1984-10-16T00:00:00,123,6.5,4,1
223,1985,1984-10-16T00:00:00,40,6.5,4,1
224,1985,1984-10-16T00:00:00,87,6.5,4,1
225,1985,1984-10-16T00:00:00,130,6.5,4,1
226,1985,1984-10-16T00:00:00,5,6.5,4,1
227,1985,1984-10-16T00:00:00,50,6.5,4,1
228,1985,1984-10-16T00:00:00,95,6.5,4,1
229,1985,1984-10-16T00:00:00,14,6.5,4,1
230,1985,1984-10-16T00:00:00,59,6.5,4,1
231,1985,1984-10-16T00:00:00,104,6.5,4,1
232,1985,1984-10-16T00:00:00,23,6.5,4,1
233,1985,1984-10-16T00:00:00,68,6.5,4,1
234,1985,1984-10-16T00:00:00,113,6.5,4,1
235,1985,1984-10-16T00:00:00,32,6.5,4,1
236,1985,1984-10-16T00:00:00,77,6.5,4,1
237,1985,1984-10-16T00:00:00,122,6.5,4,1
238,1985,1984-10-16T00:00:00,41,6.5,4,1
239,1985,1984-10-16T00:00:00,86,6.5,4,1
240,1985,1984-10-16T00:00:00,131,6.5,4,1
241,1985,1984-10-16T00:00:00,6,6.5,4,1
242,1985,1984-10-16T00:00:00,49,6.5,4,1
243,1985,1984-10-16T00:00:00,96,6.5,4,1
244,1985,1984-10-16T00:00:00,13,6.5,4,1
245,1985,1984-10-16T00:00:00,60,6.5,4,1
246,1985,1984-10-16T00:00:00,103,6.5,4,1
247,1985,1984-10-16T00:00:00,24,6.5,4,1
248,1985,1984-10-16T00:00:00,67,6.5,4,1
249,1985,1984-10-16T00:00:00,114,6.5,4,1
250,1985,1984-10-16T00:00:00,31,6.5,4,1
251,1985,1984-10-16T00:00:00,78,6.5,4,1
252,1985,1984-10-16T00:00:00,121,6.5,4,1
253,1985,1984-10-16T00:00:00,42,6.5,4,1
254,1985,1984-10-16T00:00:00,85,6.5,4,1
255,1985,1984-10-16T00:00:00,132,6.5,4,1
256,1985,1984-11-15T00:00:00,1,25,8,4
257,1985,1984-11-15T00:00:00,54,25,8,4
258,1985,1984-11-15T00:00:00,91,25,8,4
259,1985,1984-11-15T00:00:00,18,25,8,4
260,1985,1984-11-15T00:00:00,55,25,8,4
261,1985,1984-11-15T00:00:00,108,25,8,4
262,1985,1984-11-15T00:00:00,19,25,8,4
263,1985,1984-11-15T00:00:00,72,25,8,4
264,1985,1984-11-15T00:00:00,109,25,8,4
265,1985,1984-11-15T00:00:00,36,25,8,4
266,1985,1984-11-15T00:00:00,73,25,8,4
267,1985,1984-11-15T00:00:00,126,25,8,4
268,1985,1984-11-15T00:00:00,37,25,8,4
269,1985,1984-11-15T00:00:00,90,25,8,4
270,1985,1984-11-15T00:00:00,127,25,8,4
271,1985,1984-11-15T00:00:00,2,25,8,4
272,1985,1984-11-15T00:00:00,53,25,8,4
273,1985,1984-11-15T00:00:00,92,25,8,4
274,1985,1984-11-15T00:00:00,17,25,8,4
275,1985,1984-11-15T00:00:00,56,25,8,4
