Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
1042,1992,19,3,3
1043,1992,72,3,3
1044,1992,109,3,3
1045,1992,36,3,4
1046,1992,73,3,4
1047,1992,126,3,4
1048,1992,37,3,5
1049,1992,90,3,5
1050,1992,127,3,5
1051,1992,2,3,6
1052,1992,53,3,6
1053,1992,92,3,6
1054,1992,17,3,7
1055,1992,56,3,7
1056,1992,107,3,7
1057,1992,20,3,8
1058,1992,71,3,8
1059,1992,110,3,8
1060,1992,35,3,9
1061,1992,74,3,9
1062,1992,125,3,9
1063,1992,38,3,10
1064,1992,89,3,10
1065,1992,128,3,10
1066,1992,3,3,11
1067,1992,52,3,11
1068,1992,93,3,11
1069,1992,16,3,12
1070,1992,57,3,12
1071,1992,106,3,12
1072,1992,21,3,13
1073,1992,70,3,13
1074,1992,111,3,13
1075,1992,34,3,14
1076,1992,75,3,14
1077,1992,124,3,14
1078,1992,39,3,15
1079,1992,88,3,15
1080,1992,129,3,15
1081,1992,4,4,1
1082,1992,51,4,1
1083,1992,94,4,1
1084,1992,15,4,2
1085,1992,58,4,2
1086,1992,105,4,2
1087,1992,22,4,3
1088,1992,69,4,3
1089,1992,112,4,3
1090,1992,33,4,4
1091,1992,76,4,4
1092,1992,123,4,4
1093,1992,40,4,5
1094,1992,87,4,5
1095,1992,130,4,5
1096,1992,5,4,6
1097,1992,50,4,6
1098,1992,95,4,6
1099,1992,14,4,7
1100,1992,59,4,7
1101,1992,104,4,7
1102,1992,23,4,8
1103,1992,68,4,8
1104,1992,113,4,8
1105,1992,32,4,9
1106,1992,77,4,9
1107,1992,122,4,9
1108,1992,41,4,10
1109,1992,86,4,10
1110,1992,131,4,10
1111,1992,6,4,11
1112,1992,49,4,11
1113,1992,96,4,11
1114,1992,13,4,12
1115,1992,60,4,12
1116,1992,103,4,12
1117,1992,24,4,13
1118,1992,67,4,13
1119,1992,114,4,13
1120,1992,31,4,14
1121,1992,78,4,14
1122,1992,121,4,14
1123,1992,42,4,15
1124,1992,85,4,15
1125,1992,132,4,15
1126,1993,4,6,1
1127,1993,51,6,1
1128,1993,94,6,1
1129,1993,15,6,2
1130,1993,58,6,2
1131,1993,105,6,2
1132,1993,22,6,3
1133,1993,69,6,3
1134,1993,112,6,3
1135,1993,33,6,4
1136,1993,76,6,4
1137,1993,123,6,4
1138,1993,40,6,5
1139,1993,87,6,5
1140,1993,130,6,5
1141,1993,5,6,6
1142,1993,50,6,6
1143,1993,95,6,6
1144,1993,14,6,7
1145,1993,59,6,7
1146,1993,104,6,7
1147,1993,23,6,8
1148,1993,68,6,8
1149,1993,113,6,8
1150,1993,32,6,9
1151,1993,77,6,9
1152,1993,122,6,9
1153,1993,41,6,10
1154,1993,86,6,10
1155,1993,131,6,10
1156,1993,6,6,11
1157,1993,49,6,11
1158,1993,96,6,11
1159,1993,13,6,12
1160,1993,60,6,12
1161,1993,103,6,12
1162,1993,24,6,13
1163,1993,67,6,13
1164,1993,114,6,13
1165,1993,31,6,14
1166,1993,78,6,14
1167,1993,121,6,14
1168,1993,42,6,15
1169,1993,85,6,15
1170,1993,132,6,15
1171,1993,7,5,1
1172,1993,48,5,1
1173,1993,97,5,1
1174,1993,12,5,2
1175,1993,61,5,2
1176,1993,102,5,2
1177,1993,25,5,3
1178,1993,66,5,3
1179,1993,115,5,3
1180,1993,30,5,4
1181,1993,79,5,4
1182,1993,120,5,4
1183,1993,43,5,5
1184,1993,84,5,5
1185,1993,133,5,5
1186,1993,8,5,6
1187,1993,47,5,6
1188,1993,98,5,6
1189,1993,11,5,7
1190,1993,62,5,7
1191,1993,101,5,7
1192,1993,26,5,8
1193,1993,65,5,8
1194,1993,116,5,8
1195,1993,29,5,9
1196,1993,80,5,9
1197,1993,119,5,9
1198,1993,44,5,10
1199,1993,83,5,10
1200,1993,134,5,10
1201,1993,9,5,11
1202,1993,46,5,11
1203,1993,99,5,11
1204,1993,10,5,12
1205,1993,63,5,12
1206,1993,100,5,12
1207,1993,27,5,13
1208,1993,64,5,13
1209,1993,117,5,13
1210,1993,28,5,14
1211,1993,81,5,14
1212,1993,118,5,14
1213,1993,45,5,15
1214,1993,82,5,15
1215,1993,135,5,15
1216,1993,1,4,1
1217,1993,54,4,1
1218,1993,91,4,1
1219,1993,18,4,2
1220,1993,55,4,2
1221,1993,108,4,2
1222,1993,19,4,3
1223,1993,72,4,3
1224,1993,109,4,3
1225,1993,36,4,4
1226,1993,73,4,4
1227,1993,126,4,4
1228,1993,37,4,5
1229,1993,90,4,5
1230,1993,127,4,5
1231,1993,2,4,6
1232,1993,53,4,6
1233,1993,92,4,6
1234,1993,17,4,7
1235,1993,56,4,7
1236,1993,107,4,7
1237,1993,20,4,8
1238,1993,71,4,8
1239,1993,110,4,8
1240,1993,35,4,9
